music_id,artist_names,track_name,tempo,mean_mel,mean_rms,max_rms,mean_zcr,std_zcr,mean_centroid
116,데이먼스 이어 Damons year,yours,73.83,-47.66,0.25519999861717224,0.49869999289512634,0.0504,0.04,1519.42
117,LE SSERAFIM,Perfect Night,136.0,-47.14,0.2590999901294708,0.5910999774932861,0.0828,0.07,2119.02
118,Lim Young Woong,A Psalm of Life,69.84,-44.01,0.2768999934196472,0.5148000121116638,0.0691,0.04,1572.01
119,BIGBANG,IF YOU,143.55,-47.76,0.24570000171661377,0.4997999966144562,0.0653,0.05,1938.64
120,DAY6,녹아내려요 Melt Down,92.29,-37.24,0.28610000014305115,0.48579999804496765,0.1145,0.05,2603.03
121,BIGBANG,FLOWER ROAD,95.7,-42.66,0.27239999175071716,0.5285999774932861,0.1002,0.07,2621.06
122,LE SSERAFIM,EASY,161.5,-49.3,0.24580000340938568,0.5462999939918518,0.0811,0.08,2334.27
123,The Black Skirts,EVERYTHING,117.45,-47.85,0.2596000134944916,0.5300999879837036,0.0447,0.02,1085.76
124,Jin,Falling,129.2,-42.25,0.2818000018596649,0.5315999984741211,0.0884,0.05,2313.85
125,G-DRAGON,WHO YOU?,89.1,-37.9,0.20900000631809235,0.36390000581741333,0.1365,0.07,2575.6
126,Frank Ocean,Pink + White,161.5,-46.75,0.20059999823570251,0.43459999561309814,0.082,0.07,1861.62
127,AKMU,"How can I love the heartbreak, you're the one I love",64.6,-51.26,0.07890000194311142,0.263700008392334,0.0609,0.05,1455.05
128,Jin,I will come to you,78.3,-52.89,0.1160999983549118,0.31540000438690186,0.0611,0.05,1972.35
129,BIGBANG,LOSER,89.1,-46.03,0.2727000117301941,0.5842000246047974,0.0767,0.04,1738.21
130,wave to earth,love.,123.05,-42.85,0.19370000064373016,0.3133000135421753,0.0575,0.02,1315.26
131,"Jung Kook, BTS, FIFA Sound",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],152.0,-42.28,0.13819999992847443,0.26969999074935913,0.068,0.04,1852.92
132,wave to earth,seasons,123.05,-50.41,0.23489999771118164,0.4724999964237213,0.0438,0.04,1182.86
133,Lim Young Woong,I Love You,73.83,-44.92,0.1136000007390976,0.2401999980211258,0.083,0.07,1904.56
134,NewJeans,Attention,103.36,-41.02,0.25189998745918274,0.4909999966621399,0.1335,0.1,2897.89
135,BIGBANG,FXXK IT,89.1,-43.23,0.2531999945640564,0.6342999935150146,0.1522,0.09,3041.85
136,Gracie Abrams,That’s So True,107.67,-38.44,0.30250000953674316,0.4799000024795532,0.0891,0.04,2299.25
137,TAEYANG,"눈,코,입 (Eyes, Nose, Lips)",143.55,-48.19,0.19460000097751617,0.4503999948501587,0.0626,0.05,1627.03
138,KATSEYE,Touch,83.35,-47.7,0.12919999659061432,0.37860000133514404,0.0908,0.07,2541.98
139,Sabrina Carpenter,Nonsense,136.0,-44.46,0.3075999915599823,0.682699978351593,0.0969,0.08,2495.53
140,Dhruv,double take,107.67,-50.43,0.15279999375343323,0.4916999936103821,0.0751,0.07,1964.68
141,Lim Young Woong,Father,136.0,-48.09,0.1881999969482422,0.4830000102519989,0.0725,0.06,1685.27
142,The NuTs,사랑의 바보,117.45,-42.98,0.18979999423027039,0.3628000020980835,0.102,0.07,2428.04
143,WONPIL,행운을 빌어 줘 A journey,123.05,-41.39,0.2289000004529953,0.5139999985694885,0.1141,0.05,2611.53
144,Heo Hoy Kyung,So life goes on,123.05,-49.78,0.1501999944448471,0.39169999957084656,0.0546,0.04,1452.31
145,V,Slow Dancing,152.0,-45.52,0.22310000658035278,0.4580000042915344,0.072,0.05,1995.05
146,RIIZE,Memories,92.29,-45.97,0.22779999673366547,0.5493000149726868,0.0877,0.06,2314.86
