music_id,artist_names,track_name,genre,track_length_sec,release_country,tempo,mean_mel,mean_rms,max_rms,mean_zcr,std_zcr,mean_centroid
648,ILLIT,jellyous,K-Pop,163.244,USA,80.75,-43.75,0.2939999997615814,0.5203999876976013,0.118,0.12,2650.43
649,KANGDANIEL,Episode,Dance,162.027,USA,107.67,-46.79,0.2175000011920929,0.539900004863739,0.1415,0.11,2993.26
650,The Black Skirts,Till The End of Time,Soundtrack,269.0,USA,123.05,-54.69,0.2066999971866607,0.5479000210762024,0.0384,0.03,987.16
651,"MilliMax, DRIP TARKO",Zombie (feat. DRIP TARKO),Alternative,133.627,USA,143.55,-47.13,0.2694000005722046,0.647599995136261,0.0844,0.06,2198.63
652,PLAVE,We don't stop,R&B/Soul,198.548,USA,89.1,-36.6,0.1049999967217445,0.1912000030279159,0.1487,0.07,2855.0
653,"Zac Efron, Zendaya",Rewrite The Stars,Soundtrack,217.44,USA,123.05,-44.06,0.2055000066757202,0.4724000096321106,0.1093,0.08,2665.28
654,Maroon 5,Sunday Morning,Pop,243.92,USA,172.27,-39.07,0.2754000127315521,0.4997999966144562,0.0959,0.06,2360.71
655,Bruno Mars,Versace on the Floor,Pop,261.241,USA,172.27,-44.02,0.1881999969482422,0.4318000078201294,0.1,0.06,2333.78
656,ILLIT,oops!,K-Pop,161.491,USA,117.45,-40.63,0.1429000049829483,0.2953000068664551,0.0919,0.05,2124.15
657,Justin Bieber,Boyfriend - Acoustic Version,Pop,187.69,USA,89.1,-50.8,0.0838000029325485,0.2460000067949295,0.0755,0.07,2057.86
658,Hearts2Hearts,STYLE,K-Pop,209.671,USA,129.2,-42.19,0.2400999963283538,0.544700026512146,0.1224,0.07,2707.73
659,ILLIT,bamsopoong,K-Pop,139.324,USA,172.27,-41.48,0.3142000138759613,0.5424000024795532,0.0839,0.06,2344.0
660,"BIG Naughty, LEE CHANHYUK",MUSIC (Feat. LEE CHANHYUK),K-Pop,159.0,USA,73.83,-50.04,0.2126999944448471,0.5458999872207642,0.0988,0.08,2444.37
661,"Jimin, HA SUNG WOON",With you,Soundtrack,201.905,USA,152.0,-45.39,0.2143000066280365,0.4839000105857849,0.0774,0.05,2158.03
662,KATSEYE,Gabriela,Pop,197.227,USA,143.55,-44.13,0.0808999985456466,0.169400006532669,0.1054,0.07,2679.49
663,"Epik High, Younha",우산 (feat. 윤하),K-Pop,301.72,USA,112.35,-41.11,0.2705999910831451,0.4553999900817871,0.0903,0.06,2510.67
664,Woody,Flower in the Desert - Kor Version,K-Pop,259.133,USA,123.05,-45.45,0.2107000052928924,0.4785999953746795,0.0956,0.07,2343.73
665,"Heize, Shin Yong Jae","You, Clouds, Rain",K-Pop,205.312,USA,80.75,-48.25,0.1983000040054321,0.5602999925613403,0.0967,0.07,2265.24
666,OHHYUK,A Little Girl,Soundtrack,226.274,USA,129.2,-53.73,0.1067999973893165,0.3226000070571899,0.0453,0.04,1361.92
667,"Ye, Kanye West",PREACHER MAN,Hip-Hop/Rap,181.592,USA,161.5,-49.17,0.2781000137329101,0.4738999903202057,0.0474,0.04,1334.61
668,KANA-BOON,シルエット,Rock,240.133,USA,92.29,-36.52,0.2888000011444092,0.4498000144958496,0.1212,0.07,2706.05
669,"Ye, Kanye West",BEAUTY AND THE BEAST,Hip-Hop/Rap,105.722,USA,161.5,-49.66,0.3391999900341034,0.6371999979019165,0.0301,0.02,1427.88
670,"Ye, Kanye West",DAMN,Hip-Hop/Rap,122.553,USA,92.29,-49.78,0.3747999966144562,0.5985999703407288,0.0393,0.04,1838.82
671,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,K-Pop,194.608,USA,123.05,-45.76,0.1055999994277954,0.2477999925613403,0.0902,0.05,2370.1
672,ALLDAY PROJECT,FAMOUS,K-Pop,180.354,USA,117.45,-45.0,0.3059999942779541,0.6482999920845032,0.0717,0.06,2050.88
673,ALLDAY PROJECT,WICKED,K-Pop,157.191,USA,129.2,-46.59,0.2475000023841858,0.6287999749183655,0.1339,0.12,3017.99
674,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Soda Pop,K-Pop,150.686,USA,123.05,-44.02,0.1054000034928321,0.2176000028848648,0.1167,0.09,2794.15
