artist_names,track_name,genre,track_length_sec,release_country
The Weeknd,Opening Night,R&B/Soul,96.024,USA
"The Weeknd, Future",Enjoy The Show (feat. Future),R&B/Soul,301.429,USA
The Weeknd,I Can't Wait To Get There,R&B/Soul,188.922,USA
The Weeknd,Given Up On Me,R&B/Soul,354.781,USA
The Weeknd,Niagara Falls,R&B/Soul,277.275,USA
The Weeknd,Take Me Back To LA,R&B/Soul,253.735,USA
"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",Soundtrack,244.685,USA
IVE,ATTITUDE,K-Pop,194.733,USA
PLAVE,Dash,Korean Rock,174.533,USA
PLAVE,Chroma Drift,R&B/Soul,210.827,USA
PLAVE,RIZZ,Korean Hip-Hop,164.733,USA
PLAVE,Island,K-Pop,256.12,USA
PLAVE,12:32 (A to T),K-Pop,193.293,USA
Kendrick Lamar,Not Like Us,Hip-Hop/Rap,274.192,USA
Lady Gaga,Abracadabra,Pop,223.398,USA
Yerin Baek,Bye bye my blue,K-Pop,203.41,USA
"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay),Hip-Hop/Rap,220.69,USA
BOYNEXTDOOR,Gonna Be A Rock,,,
V,Christmas Tree,Soundtrack,209.947,USA
"LISA, Doja Cat, RAYE",Born Again (feat. Doja Cat & RAYE),Pop,231.174,USA
Kendrick Lamar,squabble up,Hip-Hop/Rap,157.992,USA
"Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""",Hip-Hop/Rap,232.19,USA
"Ty Dolla $ign, Yé",Wheels Fall Off (feat. Ye),Christian,231.043,USA
Molly Yam,Burning slow,,,
Kendrick Lamar,HUMBLE.,Hip-Hop/Rap,177.0,USA
"SZA, Kendrick Lamar",30 For 30 (with Kendrick Lamar),R&B/Soul,278.28,USA
ASH ISLAND,Ghost of You,K-Pop,175.627,USA
"Molly Yam, Sik-K, GGM LIL DRAGON","Burning slow (feat. Sik-K, GGM LIL DRAGON) - Remix",,,
Jimin,Christmas Love,K-Pop,197.931,USA
JISOO,earthquake,K-Pop,190.807,USA
JISOO,Your Love,K-Pop,173.232,USA
JISOO,TEARS,K-Pop,182.221,USA
JISOO,Hugs & Kisses,Rock,333.283,USA
Sabrina Carpenter,Busy Woman,Pop,216.479,USA
"Kendrick Lamar, Zacari",LOVE. FEAT. ZACARI.,Hip-Hop/Rap,213.4,USA
ZO ZAZZ,Don`t you know(PROD.ROCOBERRY),,,
"JENNIE, Doechii",ExtraL (feat. Doechii),Pop,167.754,USA
"Don Toliver, Speedy, j-hope, Pharrell Williams",LV Bag (feat. j-hope of BTS & Pharrell Williams),Hip-Hop/Rap,182.604,USA
BIBI,Bluebird,K-Pop,179.871,USA
YOASOBI,夜に駆ける,J-Pop,261.013,USA
CHUNG HA,STRESS,K-Pop,204.4,USA
KiiiKiii,I DO ME,K-Pop,190.557,USA
Hearts2Hearts,The Chase,K-Pop,178.9,USA
Lim Changjung,내가 저지른 사랑,K-Pop,238.252,USA
"G-DRAGON, Anderson .Paak",TOO BAD,K-Pop,153.665,USA
G-DRAGON,DRAMA,K-Pop,234.772,USA
G-DRAGON,TAKE ME,K-Pop,219.004,USA
G-DRAGON,IBELONGIIU,K-Pop,193.071,USA
G-DRAGON,보나마나 (BONAMANA),K-Pop,195.536,USA
G-DRAGON,GYRO-DROP,K-Pop,168.81,USA
hunnie gz,Me do i,,,
Hearts2Hearts,Butterflies,K-Pop,177.228,USA
The Volunteers,Rules,Rock,251.033,USA
G-DRAGON,A Boy,K-Pop,209.293,USA
BOYNEXTDOOR,So let's go see the stars,K-Pop,202.693,USA
BTS,Spring Day,K-Pop,274.097,USA
"LISA, Future",FXCK UP THE WORLD (feat. Future),Pop,184.155,USA
GD X TAEYANG,GOOD BOY,Hip-Hop/Rap,245.192,USA
"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Pop,190.453,USA
LISA,Moonlit Floor (Kiss Me),Pop,155.757,USA
LEE MU JIN,Coming Of Age Story,Korean Rock,275.173,USA
NMIXX,High Horse,K-Pop,203.213,USA
Mrs. GREEN APPLE,ライラック,Rock,288.2,USA
"The Chainsmokers, Halsey",Closer,Dance,245.506,USA
JENNIE,like JENNIE,Pop,123.518,USA
"JENNIE, Dua Lipa",Handlebars (feat. Dua Lipa),Pop,184.698,USA
10CM,To Reach You,K-Pop,158.68,USA
JENNIE,ZEN,Pop,201.447,USA
JENNIE,start a war,Pop,165.067,USA
JENNIE,with the IE (way up),Pop,163.9,USA
"JENNIE, Childish Gambino, Kali Uchis",Damn Right (feat. Childish Gambino & Kali Uchis),Pop,230.895,USA
"JENNIE, FKJ",Intro : JANE with FKJ,Pop,98.256,USA
"j-hope, Miguel",Sweet Dreams (feat. Miguel),K-Pop,172.952,USA
JENNIE,F.T.S.,Classical,239.52,USA
JENNIE,Seoul City,Pop,164.398,USA
JENNIE,Filter,Pop,151.776,USA
JENNIE,Starlight,Pop,168.458,USA
JENNIE,twin,Pop,208.909,USA
Doechii,Anxiety,Hip-Hop/Rap,249.302,USA
Lady Gaga,Garden Of Eden,Pop,239.721,USA
5 Seconds of Summer,Teeth,Pop,204.887,USA
Seungmin,My Destiny,Soundtrack,230.427,USA
PLAVE,Wait for you,Dance,231.987,USA
YEJI,Air,K-Pop,194.8,USA
TREASURE,YELLOW,K-Pop,191.802,USA
LE SSERAFIM,HOT,K-Pop,143.798,USA
Playboi Carti,EVIL J0RDAN,Dance,109.166,USA
Playboi Carti,POP OUT,Hip-Hop/Rap,148.053,USA
"Playboi Carti, Travis Scott",CRUSH (with Travis Scott),Hip-Hop/Rap,243.837,USA
"Playboi Carti, The Weeknd",RATHER LIE (with The Weeknd),R&B/Soul,256.0,USA
LE SSERAFIM,Come Over,K-Pop,137.178,USA
Playboi Carti,K POP,Hip-Hop/Rap,191.703,USA
Playboi Carti,MOJO JOJO,,,
LE SSERAFIM,Ash,K-Pop,197.853,USA
"Playboi Carti, Travis Scott",PHILLY (with Travis Scott),Hip-Hop/Rap,228.267,USA
"Playboi Carti, Kendrick Lamar, Jhené Aiko",BACKD00R (feat. Kendrick Lamar & Jhené Aiko),,,
LE SSERAFIM,So Cynical (Badum),K-Pop,155.489,USA
Playboi Carti,RADAR,,,
Playboi Carti,FINE SHIT,Hip-Hop/Rap,228.267,USA
LE SSERAFIM,Born Fire,K-Pop,136.327,USA
BOYNEXTDOOR,Never Loved This Way Before,Soundtrack,265.16,USA
"Playboi Carti, Skepta",TOXIC (with Skepta),Hip-Hop/Rap,191.703,USA
Playboi Carti,I SEEEEEE YOU BABY BOI,,,
"Playboi Carti, Kendrick Lamar",GOOD CREDIT (with Kendrick Lamar),Hip-Hop/Rap,211.421,USA
Playboi Carti,MUNYUN,,,
